YEAR,LOCATION,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in BU,YIELD in BU / ACRE
2007,WISCONSIN,1380000.0,1400000.0,55890000.0,40.5
2008,ALABAMA,350000.0,360000.0,12250000.0,35.0
2008,ARKANSAS,3250000.0,3300000.0,123500000.0,38.0
2008,DELAWARE,193000.0,195000.0,5308000.0,27.5
2008,FLORIDA,29000.0,32000.0,1102000.0,38.0
2008,GEORGIA,415000.0,430000.0,12865000.0,31.0
2008,ILLINOIS,9120000.0,9200000.0,428640000.0,47.0
2008,INDIANA,5430000.0,5450000.0,244350000.0,45.0
2008,IOWA,9670000.0,9750000.0,449655000.0,46.5
2008,KANSAS,3250000.0,3300000.0,120250000.0,37.0
2008,KENTUCKY,1380000.0,1390000.0,47610000.0,34.5
2008,LOUISIANA,950000.0,1050000.0,31350000.0,33.0
2008,MARYLAND,485000.0,495000.0,14550000.0,30.0
2008,MICHIGAN,1890000.0,1900000.0,69930000.0,37.0
2008,MINNESOTA,6970000.0,7050000.0,264860000.0,38.0
2008,MISSISSIPPI,1960000.0,2000000.0,78400000.0,40.0
2008,MISSOURI,5030000.0,5200000.0,191140000.0,38.0
2008,NEBRASKA,4860000.0,4900000.0,225990000.0,46.5
2008,NEW JERSEY,90000.0,92000.0,2700000.0,30.0
2008,NEW YORK,226000.0,230000.0,10396000.0,46.0
2008,NORTH CAROLINA,1670000.0,1690000.0,55110000.0,33.0
2008,NORTH DAKOTA,3760000.0,3800000.0,105280000.0,28.0
2008,OHIO,4480000.0,4500000.0,161280000.0,36.0
2008,OKLAHOMA,360000.0,400000.0,9000000.0,25.0
2008,PENNSYLVANIA,430000.0,435000.0,17200000.0,40.0
2008,SOUTH CAROLINA,530000.0,540000.0,16960000.0,32.0
2008,SOUTH DAKOTA,4060000.0,4100000.0,138040000.0,34.0
2008,TENNESSEE,1460000.0,1490000.0,49640000.0,34.0
2008,TEXAS,205000.0,230000.0,5023000.0,24.5
2008,VIRGINIA,570000.0,580000.0,18240000.0,32.0
2008,WEST VIRGINIA,18000.0,19000.0,738000.0,41.0
2008,WISCONSIN,1590000.0,1610000.0,55650000.0,35.0
2009,ALABAMA,430000.0,440000.0,17200000.0,40.0
2009,ARKANSAS,3270000.0,3420000.0,122625000.0,37.5
2009,DELAWARE,183000.0,185000.0,7686000.0,42.0
